chapter,volume,clean_title,source_line,status,note
1,一,无聊的等待,167,source,
2,一,强悍的属性,267,source,
3,一,小试身手,459,source,
4,一,boss嘟嘟兔,573,source,
5,一,嘟嘟兔的面罩,755,source,
6,一,心动的美女,897,source,
7,一,路遇山狼王,1065,source,
8,一,抢怪就pk,1209,source,
9,一,新手村的宝藏,1349,source,
10,一,黄金战熊恰拉拉,1483,source,
11,一,丰厚的奖励（上）,1575,source,
12,一,丰厚的奖励（下）,1739,source,
13,一,净化神泉之水,1869,source,
14,一,离开新手村,1985,source,
15,一,转职骑士,2109,source,
16,一,王财的麻烦,2241,source,
17,一,黑石塔,2357,source,
18,一,排行榜开放,2449,source,
19,一,暗潮涌动（上）,2615,source,
20,一,暗潮涌动（下）,2719,source,
21,一,骷髅队长,2827,source,
22,一,美女回家,2967,source,
23,一,厨房情欲,3103,source,
24,一,可恶的小妹,3213,source,
25,一,柳姐的电话,3323,source,
26,一,滔天的情欲,3473,source,
27,一,兄妹情深,3659,source,
28,一,骷髅套装,3799,source,
29,一,二十级的属性,3915,source,
30,一,黑石塔二层,4151,source,
31,一,炼妖石,4265,source,
32,一,挺进黑石塔三层,4375,source,
33,一,宠物系统开放,4511,source,
34,一,狼人卡巴罗,4617,source,
35,一,收获颇丰,4711,source,
36,一,黑色巫师,4805,source,
37,一,紫耀石,4899,source,
38,一,宠物小火鸟,5013,source,
39,一,金刚巨盾,5185,source,
40,一,浴室情欲,5297,source,
41,一,偶遇凌玉雅（上）,5411,source,
42,一,偶遇凌玉雅（中）,5529,source,
43,一,偶遇凌玉雅（下）,5619,source,
44,一,四大校花,5729,source,
45,一,冰冷的美女杀手,5817,source,
46,一,冰冷美女的诱惑,5963,source,
47,一,痛并快乐着,6039,source,
48,一,欲火燃烧,6127,source,
49,一,诱惑小魔女,6219,source,
50,一,小魔女的责问,6289,source,
51,一,分手缘由,6381,source,
52,一,重回游戏,6455,source,
53,二,狼人卡巴罗进化,6721,source,
54,二,帮派系统开启,6851,source,
55,二,宠物小火鸟进化,6963,source,
56,二,任务风波（上）,7083,source,
57,二,任务风波（下）,7181,source,
58,二,老酒拍卖行,7315,source,
59,二,卡巴罗套装,7405,source,
60,二,准备拍卖,7533,source,
61,二,清秀的牧师女孩,7625,source,
62,二,蝙蝠洞窟,7751,source,
63,二,九翼暗黑金蝠王,7887,source,
64,二,击杀九翼暗黑金蝠王,8007,source,
65,二,三翼暗黑金蝠王,8139,source,
66,二,五行牧师,8291,source,
67,二,复活戒指,8417,source,
68,二,精灵路径,8529,source,
69,二,超强的奋力一击,8653,source,
70,二,双头乌鸦王,8801,source,
71,二,暗黑紫天龙,8921,source,
72,二,一触即发,9045,source,
73,二,神兽五爪神龙,9137,source,
74,二,神兽的威力,9265,source,
75,二,一场混战,9395,source,
76,二,皇家骑士,9545,source,
77,二,美女的约会,9701,source,
78,二,喷发的怒火,9851,source,
79,二,诱人的祁小佳,9989,source,
80,二,如此幸福,10127,source,
81,二,仙器蝙龙云剑,10299,source,
82,二,双胞胎美女魔法师,10451,source,
83,二,楠木树妖,10549,source,
84,二,楠木妖王,10653,source,
85,二,楠木鹰仗,10769,source,
86,二,暗黑不死金雕王,10871,source,
87,二,我是大色狼,11013,source,
88,二,石刻林,11149,source,
89,二,又遇抢怪的垃圾,11275,source,
90,二,快速的pk,11395,source,
91,二,悲痛的暗月四号,11565,source,
92,二,精灵之门,11723,source,
93,二,仙器楠木鹰仗,11831,source,
94,二,敲诈鉴定老头（上）,11957,source,
95,二,敲诈鉴定老头（中）,12063,source,
96,二,敲诈鉴定老头（下）,12175,source,
97,二,血魂菇,12287,source,
98,二,这样也能赚钱,12371,source,
99,二,人生何处不相逢,12511,source,
100,二,委屈的火舞,12639,source,
101,二,卑鄙的老酒,12753,source,
102,二,火爆的拍卖会,12869,source,
103,二,各大势力（上）,13001,source,
104,二,各大势力（下）,13077,source,
105,二,强者的聚会,13169,source,
106,二,拍卖建帮令,13261,source,
107,二,两匹黑马,13383,source,
108,二,突破八千万,13537,source,
109,二,四件高级黄金装备,13641,source,
110,二,居高不下的价格,13747,source,
111,二,财富排行第一,13847,source,
112,二,唯一隐藏任务,13971,source,
113,二,四大勋章,14065,source,
114,二,护殿骑士,14143,source,
115,二,龙马琴,14213,source,
116,二,前去抓马,14275,source,
117,三,命悬一线,14379,source,
118,三,太阳天神驹,14483,source,
119,三,野马头领,14581,source,
120,三,无奈的捕捉,14657,source,
121,三,马蹄之戒,14771,source,
122,三,星马湖,14869,source,
123,三,紫焰沸腾,14955,source,
124,三,霸者天下,15049,source,
125,三,仙骑紫焰雷翼马,15143,source,
126,三,梦魇之王,15225,source,
127,三,两马对决,15297,source,
128,三,碧蓝色的莲花,15367,source,
129,三,五行小白龙,15451,source,
130,三,魔魇飞龙驹,15589,source,
131,三,三星圣莲,15695,source,
132,三,损伤的三星圣莲,15783,source,
133,三,荷花潭边（上）,15883,source,
134,三,荷花潭边（下）,15969,source,
135,三,初恋回忆,16035,source,
136,三,我的爱情,16097,source,
137,三,蔓延的误会,16151,source,
138,三,游戏更新,16241,source,
139,三,让人期待的更新,,inferred,标题嵌入第138章正文中，补录为独立章节。
140,三,坦白交代,,inferred,标题嵌入第138章正文中，补录为独立章节。
141,三,《帝神诀》的威力,16573,source,
142,三,坐骑排行榜,16717,source,
143,三,神骑的议论,16921,source,
144,三,该出手就出手,17011,source,
145,三,决不留情,17119,source,
146,三,无情的屠杀,17223,source,
147,三,死亡设定,17363,source,
148,三,广庭之吻,17479,source,
149,三,恢复容貌,17593,source,
150,三,南海青玉杆,17755,source,
151,三,五彩水丹,17871,source,
152,三,郁闷的老酒,17969,source,
153,三,三圣宝石,18075,source,
154,三,天宠咒法,18171,source,
155,三,策马飞奔,18281,source,
156,三,携美升级,18353,source,
157,三,领悟技能,18441,source,
158,三,圣殿契约,18531,source,
159,三,黄斑豺狼王,18657,source,
160,三,大战难免,18751,source,
161,三,艰难的时刻,18837,source,
162,三,开始发威,18909,source,
163,三,情况逆转,18997,source,
164,三,反败为胜,19091,source,
165,三,三十级的装备,19191,source,
166,三,三十级的属性,19291,source,
167,三,进入水雾殿,19493,source,
168,三,我被偷袭,19571,source,
169,三,白雾骨怪,19643,source,
170,三,第二道考验,19723,source,
171,三,狡猾的白雾秃鹫,19797,source,
172,三,无头骑兵,19883,source,
173,三,魔族天才,19967,source,
174,三,血妖花魔,20029,source,
175,三,海之魔魂,20125,source,
176,三,收取战利品,20219,source,
177,三,白云獠牙狮,20321,source,
178,三,金刚巨盾的威力,20413,source,
179,三,两只水雾妖,20503,source,
180,三,双头水雾妖,20637,source,
181,四,水雾漩涡,20717,source,
182,四,致命一击,20823,source,
183,四,纯阴泉水,20925,source,
184,四,取得龙马琴,21013,source,
185,四,飞龙烈焰枪,21087,source,
186,四,水火交融,21177,source,
187,四,飞龙圣骑士,21277,source,
188,四,寒冰雪龙,21347,source,
189,四,骑士小分队,21435,source,
190,四,强大的属性,21503,source,
191,四,阴魂水妖猫,21579,source,
192,四,界能之针,21667,source,
193,四,豹魔兽,21743,source,
194,四,躲在暗处,21843,source,
195,四,六头双翼蛇,21943,source,
196,四,风舞裂天扇,22017,source,
197,四,危险降临,22099,source,
198,四,旋风之路,22187,source,
199,四,我被围困,22261,source,
200,四,龙骑士,22349,source,
201,四,三头黑龙骑士,22429,source,
202,四,死亡魔斩,22507,source,
203,四,三眼暗魔蛇,22585,source,
204,四,风纹之狐,22651,source,
205,四,混乱的黑石塔三层,22743,source,
206,四,空中烟花,22821,source,
207,四,开放水雾殿,22915,source,
208,四,消息一堆,22989,source,
209,四,一阵喧哗,23095,source,
210,四,至贱则无敌,23209,source,
211,四,矛盾的奖励,23303,source,
212,四,元素骑士,23529,source,
213,四,雷骑士,23735,source,
214,四,金狼微章,23873,source,
215,四,天龙令旗,24037,source,
216,四,与美共骑,24119,source,
217,四,痛吻玉雅,24217,source,
218,四,欺凌玉雅,24363,source,
219,四,第二帮派建立,24455,source,
220,四,樱花屏风,24529,source,
221,四,樱花十二使,24623,source,
222,四,红眼公牛,24703,source,
223,四,准备杀戮,24781,source,
224,四,完美的团队,24891,source,
225,四,回城鉴定,25011,source,
226,四,海魂魔玉链,25123,source,
227,四,收获不错,25239,source,
228,四,鉴定完毕,25325,source,
229,四,奇怪的老酒,25429,source,
230,四,蝴蝶花纹,25525,source,
231,四,安静的大街,25627,source,
232,四,化茧成蝶,25827,source,
233,四,惹美伤心,25913,source,
234,四,少妇的诱惑,26009,source,
235,四,爱欲燃烧,26099,source,
236,四,兄弟聚会（1）,26199,source,
237,四,兄弟聚会（2）,26329,source,
238,四,兄弟集会（3）,26453,source,
239,四,前往碑岩泉,26609,source,
240,四,我来引怪,26825,source,
241,四,亡灵怨鸟,26979,source,
242,四,瞬间搞定,27161,source,
243,四,复活的亡灵怨鸟,27267,source,
244,四,狐狸女精,27509,source,
245,四,性格的改变,27657,source,
246,四,七尾狐狸精,27805,source,
247,四,桃花凌落斩,27897,source,
248,四,百花玉体,27985,source,
249,四,百幻桃林,28187,source,
250,四,桃花精魂,28295,source,
251,四,狐族女王狐媚儿,28529,source,
252,四,神农百草杖,28671,source,
253,四,百花云萝裳,28901,source,
254,四,成功逃跑,29033,source,
255,四,神器排行榜,29321,source,
256,四,娇媚的狐媚儿,29449,source,
257,四,千年宿敌,29589,source,
258,四,桃花飞舞,29711,source,
259,四,超级血瓶,29823,source,
260,四,血妖花的果实,29947,source,
261,四,情动幽兰,30069,source,
262,四,四大魔尊,30185,source,
